Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	epidermis development (GO:0008544)	9/83	1.007070e-05	1.747266e-02	0	0	7.331726e+00	8.435796e+01	KRTAP5-9;BNC1;KRT34;KRT32;KRT31;OVOL1;KRT85;FOXN1;KRT83
GO_Biological_Process_2021	negative regulation of cellular response to growth factor stimulus (GO:0090288)	7/80	3.804487e-04	2.801236e-01	0	0	5.745507e+00	4.524104e+01	DLX1;BMP2;BAMBI;UBE2D1;THBS1;SMAD7;SULF2
GO_Biological_Process_2021	neuron projection morphogenesis (GO:0048812)	9/140	5.854480e-04	2.801236e-01	0	0	4.129536e+00	3.073669e+01	CNTNAP2;FLRT3;CTNND2;SDC2;CTNNB1;TNIK;EPHB2;ATP7A;ZNF365
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	5/42	6.458182e-04	2.801236e-01	0	0	8.062515e+00	5.921912e+01	TIAM1;BMP2;BAMBI;LEF1;CTNNB1
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	10/180	9.216265e-04	3.198044e-01	0	0	3.539579e+00	2.473943e+01	RIMS2;SERPINA3;RIMS3;SCIN;SERPINA1;ACTN1;CD109;PCDH7;FGG;THBS1
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	16/408	1.477024e-03	3.735520e-01	0	0	2.473880e+00	1.612407e+01	LRRC15;KANK1;CEMIP;SEMA6A;LEF1;CLDN1;THBS1;SMAD7;FGF5;TIAM1;BMP2;DACH1;KRT16;FGF18;CYP1B1;EPHB2
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition (GO:0010717)	6/76	1.699317e-03	3.735520e-01	0	0	5.120906e+00	3.265873e+01	TIAM1;BMP2;BAMBI;LEF1;CTNNB1;SMAD7
GO_Biological_Process_2021	negative regulation of BMP signaling pathway (GO:0030514)	5/52	1.722430e-03	3.735520e-01	0	0	6.343853e+00	4.037240e+01	DLX1;BMP2;BAMBI;UBE2D1;SMAD7
GO_Biological_Process_2021	dendritic spine morphogenesis (GO:0060997)	3/16	2.199375e-03	3.940028e-01	0	0	1.370184e+01	8.384951e+01	CTNND2;EPHB2;ZNF365
GO_Biological_Process_2021	histone citrullination (GO:0036414)	2/5	2.689455e-03	3.940028e-01	0	0	3.948394e+01	2.336824e+02	PADI3;PADI1
GO_Biological_Process_2021	protein citrullination (GO:0018101)	2/5	2.689455e-03	3.940028e-01	0	0	3.948394e+01	2.336824e+02	PADI3;PADI1
GO_Biological_Process_2021	dendrite morphogenesis (GO:0048813)	4/36	2.952182e-03	3.940028e-01	0	0	7.437121e+00	4.332280e+01	CTNND2;SDC2;EPHB2;ZNF365
GO_Biological_Process_2021	Wnt signaling pathway, calcium modulating pathway (GO:0007223)	4/36	2.952182e-03	3.940028e-01	0	0	7.437121e+00	4.332280e+01	FZD3;LEF1;GNB1;CTNNB1
GO_Biological_Process_2021	leucine transport (GO:0015820)	2/6	3.989725e-03	4.531822e-01	0	0	2.961145e+01	1.635746e+02	SLC7A8;SLC6A15
GO_Biological_Process_2021	Wnt signaling pathway (GO:0016055)	6/92	4.441529e-03	4.531822e-01	0	0	4.164776e+00	2.255958e+01	FZD3;LEF1;FZD8;CTNNB1;CSNK1E;CD24
GO_Biological_Process_2021	epithelial cell migration (GO:0010631)	4/41	4.755003e-03	4.531822e-01	0	0	6.430467e+00	3.439372e+01	KANK1;KRT16;GIPC1;CYP1B1
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	7/125	5.060488e-03	4.531822e-01	0	0	3.546260e+00	1.874657e+01	SERPINA3;SERPINA1;ACTN1;CD109;PCDH7;FGG;THBS1
GO_Biological_Process_2021	regulation of cGMP-mediated signaling (GO:0010752)	2/7	5.524141e-03	4.531822e-01	0	0	2.368795e+01	1.231448e+02	RUNDC3A;THBS1
GO_Biological_Process_2021	negative regulation of T-helper 17 type immune response (GO:2000317)	2/7	5.524141e-03	4.531822e-01	0	0	2.368795e+01	1.231448e+02	RC3H1;SMAD7
GO_Biological_Process_2021	canonical Wnt signaling pathway (GO:0060070)	5/68	5.565291e-03	4.531822e-01	0	0	4.728856e+00	2.454847e+01	FZD3;LEF1;FZD8;CTNNB1;CSNK1E
GO_Biological_Process_2021	negative regulation of stress fiber assembly (GO:0051497)	3/24	7.202973e-03	4.531822e-01	0	0	8.478636e+00	4.182733e+01	ARHGAP28;F11R;CGNL1
GO_Biological_Process_2021	negative regulation of T-helper 17 cell differentiation (GO:2000320)	2/8	7.284568e-03	4.531822e-01	0	0	1.973896e+01	9.715508e+01	RC3H1;SMAD7
GO_Biological_Process_2021	positive regulation of melanin biosynthetic process (GO:0048023)	2/8	7.284568e-03	4.531822e-01	0	0	1.973896e+01	9.715508e+01	GIPC1;ATP7A
GO_Biological_Process_2021	positive regulation of secondary metabolite biosynthetic process (GO:1900378)	2/8	7.284568e-03	4.531822e-01	0	0	1.973896e+01	9.715508e+01	GIPC1;ATP7A
GO_Biological_Process_2021	regulation of wound healing (GO:0061041)	4/47	7.746495e-03	4.531822e-01	0	0	5.531501e+00	2.688594e+01	KANK1;CD109;EPHB2;CLDN1
GO_Biological_Process_2021	protein localization to plasma membrane (GO:0072659)	7/136	7.939437e-03	4.531822e-01	0	0	3.242041e+00	1.567823e+01	RAB3B;FYB2;EHD3;MAP7;TNIK;F11R;EZR
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	14/404	8.331194e-03	4.531822e-01	0	0	2.162372e+00	1.035289e+01	CYFIP2;SDC2;IL31RA;SHB;EFNA5;KALRN;SULF2;FGF5;TIAM1;FLRT3;FGF18;ANOS1;BLNK;EPHB2
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	5/76	8.857897e-03	4.531822e-01	0	0	4.194315e+00	1.982420e+01	FHOD3;EPB41L5;TMOD3;F11R;FHDC1
GO_Biological_Process_2021	regulation of BMP signaling pathway (GO:0030510)	5/76	8.857897e-03	4.531822e-01	0	0	4.194315e+00	1.982420e+01	DLX1;BMP2;BAMBI;UBE2D1;SMAD7
GO_Biological_Process_2021	protein localization to cell periphery (GO:1990778)	7/140	9.238762e-03	4.531822e-01	0	0	3.143892e+00	1.472708e+01	RAB3B;FYB2;EHD3;MAP7;TNIK;F11R;EZR
GO_Biological_Process_2021	regulation of nephron tubule epithelial cell differentiation (GO:0072182)	2/9	9.263076e-03	4.531822e-01	0	0	1.691824e+01	7.920647e+01	CTNNB1;CD24
GO_Biological_Process_2021	sympathetic ganglion development (GO:0061549)	2/9	9.263076e-03	4.531822e-01	0	0	1.691824e+01	7.920647e+01	FZD3;CTNNB1
GO_Biological_Process_2021	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	6/108	9.562815e-03	4.531822e-01	0	0	3.508608e+00	1.631458e+01	DLX1;BMP2;BAMBI;CD109;UBE2D1;SMAD7
GO_Biological_Process_2021	calcium-ion regulated exocytosis (GO:0017156)	3/27	1.003342e-02	4.531822e-01	0	0	7.417674e+00	3.413490e+01	RIMS2;RIMS3;SCIN
