Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	51/621	1.791584e-19	3.871612e-16	0	0	5.415004e+00	2.337442e+02	CXCL9;CIITA;ITGAM;ITGB2;IFIT5;SLA;SLA2;ICAM1;OASL;TNFSF13B;ITGAX;B2M;JAK3;CCR2;HLA-DPA1;FCER1G;IL15;HLA-F;PSMA5;CEACAM1;AIM2;IFI27;LCK;IRF1;OAS3;XCL2;XCL1;IRF8;LCP1;HLA-DQB1;BIRC3;CCL13;IL2RG;SAMHD1;MUC1;CCL8;ALOX5;CCL5;CCL18;IL12RB1;GBP1;CCR1;IL32;STAT1;MX2;IL10RA;PSMB9;CXCL10;CD27;XAF1;IL7R
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	22/121	4.697821e-16	5.075995e-13	0	0	1.261951e+01	4.453963e+02	GBP5;CCL13;CIITA;STAT1;HLA-F;AIF1;ICAM1;OASL;CCL8;IRF1;OAS3;CCL5;XCL2;IRF8;XCL1;CCL18;IL12RB1;B2M;GBP1;GBP4;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	25/179	2.895174e-15	2.085490e-12	0	0	9.273717e+00	3.104445e+02	ITGB2;PTPN22;SLA2;CD1C;CD3E;ITGAL;SAMHD1;CD1B;CD3D;ICAM1;KLRK1;B2M;IL15;CRTAM;HLA-F;FGR;TYROBP;FCGR2A;JAML;SELL;CD8A;IRF1;FCGR2B;FCGR2C;BIRC3
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	36/482	9.130285e-13	4.589938e-10	0	0	4.693355e+00	1.301092e+02	CCL13;ITGAM;ITGB2;SLA;IL2RG;SLA2;ADAMTS12;AIF1;ICAM1;MUC1;CCL8;ALOX5;CCL5;ITGAX;CCL18;IL12RB1;GBP1;JAK3;GBP4;CCR2;HLA-DPA1;CCR1;IL32;GBP5;STAT1;IL10RA;CXCL10;AIM2;LCK;IRF1;XCL2;HCLS1;XCL1;IRF8;MNDA;PTPN7
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	16/80	1.061994e-12	4.589938e-10	0	0	1.397857e+01	3.854014e+02	GBP5;CCL13;CIITA;STAT1;AIF1;CCL8;CCL5;UBD;XCL2;IRF8;XCL1;CCL18;IL12RB1;GBP1;GBP4;HLA-DPA1
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	22/185	3.842592e-12	1.383973e-09	0	0	7.639499e+00	2.008033e+02	ITK;FYB1;TRAT1;THEMIS;PTPN22;BTN3A3;BTN3A2;SLA2;CD3E;CD3D;PSMB9;PSMA5;PTPRC;LCK;NFKBIZ;CD28;PRKCQ;NCKAP1L;LCP2;MNDA;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	15/75	5.472925e-12	1.478374e-09	0	0	1.394160e+01	3.615224e+02	SASH3;CD274;IL15;CD3E;AIF1;TNFSF13B;HLA-DMB;PTPRC;CD209;CCL5;GPR183;CD28;NCKAP1L;JAK3;HLA-DPA1
GO_Biological_Process_2021	positive regulation of T cell activation (GO:0050870)	15/75	5.472925e-12	1.478374e-09	0	0	1.394160e+01	3.615224e+02	CD274;IL15;CD3E;AIF1;HLA-DMB;PTPRC;LCK;CD209;CCL5;CD28;PRKCQ;NCKAP1L;JAK3;CCR2;HLA-DPA1
GO_Biological_Process_2021	T cell activation (GO:0042110)	16/92	1.017757e-11	2.443748e-09	0	0	1.176421e+01	2.977620e+02	ITK;CRTAM;PTPN22;NLRC3;CD3E;SLA2;CD1C;PIK3CG;CD2;PTPRC;JAML;CD8A;LCK;RAB29;CD28;LCP1
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	14/66	1.206762e-11	2.607812e-09	0	0	1.497749e+01	3.765416e+02	CD274;IL15;CD3E;AIF1;HLA-DMB;PTPRC;CD209;CCL5;CD28;NCKAP1L;IL12RB1;JAK3;CCR2;HLA-DPA1
