Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	53/621	4.002650e-37	5.527660e-34	0	0	1.425789e+01	1.194935e+03	IFITM1;CXCL9;CIITA;ITGAM;ITGB2;F13A1;CXCL13;IFIT1;IFIT3;ICAM1;OASL;JAK3;CCR2;HLA-DPA1;FCER1G;RSAD2;HLA-F;IFI27;OAS2;LCK;IRF1;OAS3;XCL2;XCL1;IRF8;IRF9;BIRC3;HLA-DQB1;CCL13;ALOX15;CSF2RB;IL2RG;CCL8;CCL5;CCL2;CCL19;IL12RB1;CCL18;GBP1;HLA-DQA2;HLA-DQA1;CCR1;IL32;STAT1;MX2;MX1;ISG15;PSMB9;CXCL10;IL2RB;HLA-DRA;XAF1;IL7R
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	27/121	2.199980e-30	1.519086e-27	0	0	3.727807e+01	2.545686e+03	CCL13;CIITA;AIF1;ICAM1;OASL;CCL8;CCL5;CCL2;CCL19;CCL18;IL12RB1;HLA-DQA2;GBP1;HLA-DQA1;GBP4;HLA-DPA1;STAT1;HLA-F;OAS2;IRF1;OAS3;XCL2;HLA-DRA;IRF8;XCL1;IRF9;HLA-DQB1
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	17/65	8.993838e-21	3.105122e-18	0	0	4.322801e+01	1.995308e+03	IFITM1;RSAD2;STAT1;MX2;MX1;ISG15;IFIT1;HLA-F;IFIT3;OASL;IFI27;OAS2;IRF1;OAS3;IRF8;XAF1;IRF9
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	17/65	8.993838e-21	3.105122e-18	0	0	4.322801e+01	1.995308e+03	IFITM1;RSAD2;STAT1;MX2;MX1;ISG15;IFIT1;HLA-F;IFIT3;OASL;IFI27;OAS2;IRF1;OAS3;IRF8;XAF1;IRF9
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	18/80	1.246718e-20	3.443436e-18	0	0	3.563033e+01	1.632981e+03	CCL13;CIITA;IFITM1;STAT1;AIF1;CCL8;CCL5;UBD;XCL2;IRF8;XCL1;CCL2;CCL19;CCL18;IL12RB1;GBP1;GBP4;HLA-DPA1
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	33/482	5.857081e-20	1.348105e-17	0	0	9.751899e+00	4.318536e+02	CCL13;ITGAM;ALOX15;ITGB2;F13A1;CSF2RB;IL2RG;IFIT1;AIF1;ICAM1;CCL8;CCL5;CCL2;CCL19;IL12RB1;CCL18;GBP1;JAK3;GBP4;CCR2;HLA-DPA1;CCR1;IL32;STAT1;CXCL10;LCK;IRF1;IL2RB;XCL2;XCL1;IRF8;HCLS1;MNDA
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	22/179	5.918953e-19	1.167725e-16	0	0	1.755073e+01	7.366210e+02	IFITM1;RSAD2;CRTAM;ITGB2;PTPN22;CXCL13;HLA-F;CD1C;CD3E;ITGAL;CD1B;CD3D;ICAM1;C3;KLRK1;JAML;CD8A;IRF1;HLA-DRA;FCGR2B;BIRC3;MICB
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	16/68	8.405158e-19	1.450940e-16	0	0	3.731760e+01	1.553169e+03	CIITA;STAT1;HLA-F;ICAM1;OASL;OAS2;IRF1;OAS3;IRF8;HLA-DRA;GBP1;HLA-DQA2;IRF9;HLA-DQA1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021	inflammatory response (GO:0006954)	23/230	9.800098e-18	1.503771e-15	0	0	1.397009e+01	5.471264e+02	CCR1;CCL13;CXCL9;CIITA;ALOX15;ITGB2;FPR3;CXCL13;ITGAL;SELE;AIF1;CXCL10;CCL8;CCL5;XCL2;XCL1;CCL2;SIGLEC1;ACKR1;CCL19;FCGR2B;CCL18;CCR2
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	15/70	4.909952e-17	6.780644e-15	0	0	3.287029e+01	1.234367e+03	CCL13;CXCL9;FCER1G;ITGB2;CXCL13;CXCL10;CCL8;JAML;CCL5;XCL2;XCL1;CCL2;NCKAP1L;CCL19;CCL18
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	15/73	9.670286e-17	1.214060e-14	0	0	3.116537e+01	1.149220e+03	CCL13;CXCL9;FCER1G;ITGB2;CXCL13;CXCL10;CCL8;JAML;CCL5;XCL2;XCL1;CCL2;NCKAP1L;CCL19;CCL18
GO_Biological_Process_2021	defense response to virus (GO:0051607)	18/133	1.856018e-16	2.135968e-14	0	0	1.915787e+01	6.939542e+02	IFITM1;RSAD2;APOBEC3G;STAT1;MX2;MX1;PRF1;ISG15;IFIT1;IFI44L;IFIT3;OASL;CXCL10;PTPRC;IFI27;OAS2;IRF1;OAS3
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	15/77	2.274551e-16	2.416273e-14	0	0	2.914880e+01	1.049928e+03	CCL13;CXCL9;FCER1G;ITGB2;CXCL13;CXCL10;CCL8;JAML;CCL5;XCL2;XCL1;CCL2;NCKAP1L;CCL19;CCL18
GO_Biological_Process_2021	defense response to symbiont (GO:0140546)	17/124	1.055900e-15	1.041570e-13	0	0	1.933414e+01	6.667259e+02	IFITM1;RSAD2;APOBEC3G;STAT1;MX2;MX1;PRF1;ISG15;IFIT1;IFI44L;IFIT3;OASL;PTPRC;IFI27;OAS2;IRF1;OAS3
GO_Biological_Process_2021	chemokine-mediated signaling pathway (GO:0070098)	13/56	2.056773e-15	1.893603e-13	0	0	3.602045e+01	1.218127e+03	CCR1;CCL13;CXCL9;CXCL13;CXCL10;CCL8;CCL5;XCL2;XCL1;CCL2;CCL19;CCL18;CCR2
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	13/60	5.451703e-15	4.705501e-13	0	0	3.294822e+01	1.082113e+03	CCR1;CCL13;CXCL9;CXCL13;CXCL10;CCL8;CCL5;XCL2;XCL1;CCL2;CCL19;CCL18;CCR2
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	18/185	6.710965e-14	5.451672e-12	0	0	1.315773e+01	3.991063e+02	ITK;TRAT1;THEMIS;PTPN22;CD3E;CD3D;PSMB9;PTPRC;LCK;CD28;HLA-DRA;NCKAP1L;LCP2;MNDA;HLA-DQA2;HLA-DQA1;HLA-DQB1;HLA-DPA1
GO_Biological_Process_2021	T cell activation (GO:0042110)	14/92	8.688678e-14	6.666147e-12	0	0	2.147646e+01	6.458866e+02	ITK;CRTAM;PTPN22;NLRC3;CD3E;CD1C;CD2;PTPRC;JAML;CD8A;LCK;CD28;CCL19;MICB
GO_Biological_Process_2021	positive regulation of T cell activation (GO:0050870)	13/75	1.189404e-13	8.645092e-12	0	0	2.495793e+01	7.427518e+02	CD3E;AIF1;PTPRC;LCK;CD209;CCL5;CD28;CCL2;NCKAP1L;CCL19;JAK3;CCR2;HLA-DPA1
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	11/44	1.284885e-13	8.872133e-12	0	0	3.926190e+01	1.165409e+03	CCL13;CXCL10;CCL8;CCL5;GPR183;XCL2;CCL2;XCL1;CCL19;CXCL13;CCL18
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	12/66	5.890096e-13	3.873439e-11	0	0	2.630339e+01	7.407123e+02	PTPRC;CD209;CCL5;CD28;NCKAP1L;CCL19;CD3E;IL12RB1;JAK3;AIF1;CCR2;HLA-DPA1
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	16/158	9.386089e-13	5.891904e-11	0	0	1.360339e+01	3.767373e+02	ITK;TRAT1;THEMIS;PTPN22;CD3E;CD3D;PSMB9;PTPRC;LCK;CD28;HLA-DRA;LCP2;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	12/75	2.915411e-12	1.750514e-10	0	0	2.253550e+01	5.985657e+02	SASH3;PTPRC;CD209;CCL5;GPR183;CD28;NCKAP1L;CCL19;CD3E;JAK3;AIF1;HLA-DPA1
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	10/43	3.802394e-12	2.187961e-10	0	0	3.548144e+01	9.329984e+02	ITGAM;KLRK1;CRTAM;HLA-DRA;XCL1;CD1E;CD1C;IL12RB1;HLA-F;CD1B
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	13/103	8.096674e-12	4.472603e-10	0	0	1.716888e+01	4.384857e+02	FCER1G;HLA-F;CTSS;CLEC4A;HLA-DMA;HLA-DRA;HLA-DOA;FCGR2B;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021	regulation of T cell activation (GO:0050863)	10/47	9.957342e-12	5.288881e-10	0	0	3.163921e+01	8.015070e+02	CD2;CD209;LCK;CCL5;CRTAM;CCL2;PTPN22;JAK3;CCR2;HLA-DPA1
GO_Biological_Process_2021	regulation of viral genome replication (GO:0045069)	11/67	1.802458e-11	9.219239e-10	0	0	2.310959e+01	5.717147e+02	IFITM1;RSAD2;APOBEC3G;OAS2;OAS3;CCL5;MX1;CD28;ISG15;IFIT1;OASL
GO_Biological_Process_2021	negative regulation of viral process (GO:0048525)	11/70	2.965518e-11	1.462636e-09	0	0	2.193119e+01	5.316425e+02	IFITM1;RSAD2;APOBEC3G;OAS2;STAT1;OAS3;CCL5;MX1;ISG15;IFIT1;OASL
GO_Biological_Process_2021	negative regulation of viral genome replication (GO:0045071)	10/54	4.360240e-11	2.076376e-09	0	0	2.659629e+01	6.344786e+02	IFITM1;RSAD2;APOBEC3G;OAS2;OAS3;CCL5;MX1;ISG15;IFIT1;OASL
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	9/40	6.483214e-11	2.984439e-09	0	0	3.379696e+01	7.928504e+02	CCL13;CCL8;CCL5;CRTAM;XCL2;CCL2;XCL1;CCL19;CCL18
GO_Biological_Process_2021	regulation of T cell proliferation (GO:0042129)	11/76	7.493464e-11	3.338218e-09	0	0	1.990073e+01	4.639737e+02	PTPRC;CD209;CCL5;CD28;NCKAP1L;VSIG4;CCL19;CD3E;JAK3;AIF1;HLA-DPA1
