Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	epidermis development (GO:0008544)	5/83	4.954201e-05	1.808284e-02	0	0	1.396591e+01	1.384397e+02	KRTAP5-9;KRT34;KRT32;KRT31;KRT83
GO_Biological_Process_2021	positive regulation of neuron differentiation (GO:0045666)	3/43	1.150725e-03	2.100074e-01	0	0	1.601935e+01	1.084088e+02	DLX1;DLX2;BMP2
GO_Biological_Process_2021	negative regulation of BMP signaling pathway (GO:0030514)	3/52	1.997455e-03	2.430237e-01	0	0	1.307110e+01	8.124840e+01	DLX1;BMP2;BAMBI
GO_Biological_Process_2021	regulation of BMP signaling pathway (GO:0030510)	3/76	5.848776e-03	2.807611e-01	0	0	8.763146e+00	4.505592e+01	DLX1;BMP2;BAMBI
GO_Biological_Process_2021	negative regulation of neuron differentiation (GO:0045665)	2/24	5.874693e-03	2.807611e-01	0	0	1.922824e+01	9.877742e+01	DLX1;DLX2
GO_Biological_Process_2021	negative regulation of cellular response to growth factor stimulus (GO:0090288)	3/80	6.742048e-03	2.807611e-01	0	0	8.306242e+00	4.152616e+01	DLX1;BMP2;BAMBI
GO_Biological_Process_2021	regulation of phosphatase activity (GO:0010921)	2/28	7.946251e-03	2.807611e-01	0	0	1.626678e+01	7.865076e+01	PPP1R2;BMP2
GO_Biological_Process_2021	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	3/108	1.521913e-02	2.807611e-01	0	0	6.082642e+00	2.545708e+01	DLX1;BMP2;BAMBI
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	2/40	1.579776e-02	2.807611e-01	0	0	1.112318e+01	4.613770e+01	CST1;CST4
GO_Biological_Process_2021	sensory perception of bitter taste (GO:0050913)	2/41	1.655657e-02	2.807611e-01	0	0	1.083742e+01	4.444398e+01	CST1;CST4
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	2/42	1.733070e-02	2.807611e-01	0	0	1.056596e+01	4.284787e+01	BMP2;BAMBI
GO_Biological_Process_2021	negative regulation of proteolysis (GO:0045861)	2/43	1.811997e-02	2.807611e-01	0	0	1.030773e+01	4.134164e+01	CHAC1;CST4
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	2/44	1.892422e-02	2.807611e-01	0	0	1.006180e+01	3.991832e+01	CST1;CST4
GO_Biological_Process_2021	fatty acid derivative catabolic process (GO:1901569)	1/5	2.377289e-02	2.807611e-01	0	0	5.236842e+01	1.958165e+02	OXCT2
GO_Biological_Process_2021	forebrain regionalization (GO:0021871)	1/5	2.377289e-02	2.807611e-01	0	0	5.236842e+01	1.958165e+02	BMP2
GO_Biological_Process_2021	negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	1/5	2.377289e-02	2.807611e-01	0	0	5.236842e+01	1.958165e+02	BMP2
GO_Biological_Process_2021	BMP signaling pathway involved in heart development (GO:0061312)	1/5	2.377289e-02	2.807611e-01	0	0	5.236842e+01	1.958165e+02	BMP2
GO_Biological_Process_2021	histone citrullination (GO:0036414)	1/5	2.377289e-02	2.807611e-01	0	0	5.236842e+01	1.958165e+02	PADI3
GO_Biological_Process_2021	protein citrullination (GO:0018101)	1/5	2.377289e-02	2.807611e-01	0	0	5.236842e+01	1.958165e+02	PADI3
GO_Biological_Process_2021	cardiac muscle tissue development (GO:0048738)	2/53	2.681106e-02	2.807611e-01	0	0	8.282436e+00	2.997365e+01	BMP2;MSX2
GO_Biological_Process_2021	positive regulation of animal organ morphogenesis (GO:0110110)	1/6	2.845994e-02	2.807611e-01	0	0	4.189263e+01	1.491067e+02	BMP2
GO_Biological_Process_2021	negative regulation of cardiac muscle cell differentiation (GO:2000726)	1/6	2.845994e-02	2.807611e-01	0	0	4.189263e+01	1.491067e+02	BMP2
GO_Biological_Process_2021	positive regulation of osteoblast proliferation (GO:0033690)	1/6	2.845994e-02	2.807611e-01	0	0	4.189263e+01	1.491067e+02	BMP2
GO_Biological_Process_2021	glandular epithelial cell differentiation (GO:0002067)	1/6	2.845994e-02	2.807611e-01	0	0	4.189263e+01	1.491067e+02	BMP2
GO_Biological_Process_2021	regulation of protein depolymerization (GO:1901879)	1/6	2.845994e-02	2.807611e-01	0	0	4.189263e+01	1.491067e+02	SLN
GO_Biological_Process_2021	positive regulation of protein binding (GO:0032092)	2/58	3.167043e-02	2.807611e-01	0	0	7.541033e+00	2.603445e+01	BMP2;BAMBI
GO_Biological_Process_2021	regulation of relaxation of muscle (GO:1901077)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	SLN
GO_Biological_Process_2021	negative regulation of steroid metabolic process (GO:0045939)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	BMP2
GO_Biological_Process_2021	negative regulation of cardiocyte differentiation (GO:1905208)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	BMP2
GO_Biological_Process_2021	negative regulation of DNA repair (GO:0045738)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	OTUB2
GO_Biological_Process_2021	regulation of aldosterone biosynthetic process (GO:0032347)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	BMP2
GO_Biological_Process_2021	glutathione catabolic process (GO:0006751)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	CHAC1
GO_Biological_Process_2021	regulation of cortisol biosynthetic process (GO:2000064)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	BMP2
GO_Biological_Process_2021	negative regulation of protein K63-linked ubiquitination (GO:1900045)	1/7	3.312471e-02	2.807611e-01	0	0	3.490877e+01	1.189508e+02	OTUB2
