Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Estrogen signaling pathway	12/137	3.322321e-06	4.178754e-04	0	0	5.825888e+00	7.349269e+01	KRT33B;KRT33A;KRT16;KRT36;KRT35;KRT34;HSPA2;KRT32;KRT31;KRT40;HSP90B1;CREB5
KEGG_2021_Human	Staphylococcus aureus infection	10/95	4.242390e-06	4.178754e-04	0	0	7.110022e+00	8.795370e+01	KRT33B;KRT33A;KRT16;FGG;KRT36;KRT35;KRT34;KRT32;KRT31;KRT40
KEGG_2021_Human	Basal cell carcinoma	5/63	4.014245e-03	2.630393e-01	0	0	5.137826e+00	2.835004e+01	FZD3;BMP2;LEF1;FZD8;CTNNB1
KEGG_2021_Human	Hippo signaling pathway	8/163	6.189040e-03	2.630393e-01	0	0	3.089016e+00	1.570757e+01	FZD3;BMP2;PPP2R1B;LEF1;FZD8;CTNNB1;CSNK1E;SMAD7
KEGG_2021_Human	Adherens junction	5/71	6.676125e-03	2.630393e-01	0	0	4.513217e+00	2.260769e+01	FARP2;ACTN1;LEF1;CTNNB1;SSX2IP
KEGG_2021_Human	Regulation of actin cytoskeleton	9/218	1.128556e-02	3.705425e-01	0	0	2.578035e+00	1.156050e+01	CYFIP2;FGF5;TIAM1;SCIN;DIAPH3;ACTN1;FGF18;ITGB6;EZR
KEGG_2021_Human	PI3K-Akt signaling pathway	12/354	1.638493e-02	4.123249e-01	0	0	2.105699e+00	8.657356e+00	COMP;FGF5;PPP2R1B;FGF18;GNB1;EIF4EBP1;LPAR3;ITGB6;EFNA5;THBS1;HSP90B1;CREB5
KEGG_2021_Human	TGF-beta signaling pathway	5/94	2.069255e-02	4.123249e-01	0	0	3.342953e+00	1.296391e+01	BMP2;PPP2R1B;BAMBI;THBS1;SMAD7
KEGG_2021_Human	Wnt signaling pathway	7/166	2.172127e-02	4.123249e-01	0	0	2.626296e+00	1.005730e+01	FZD3;BAMBI;CTNND2;LEF1;FZD8;CTNNB1;CSNK1E
KEGG_2021_Human	Proteoglycans in cancer	8/205	2.220148e-02	4.123249e-01	0	0	2.425213e+00	9.234230e+00	TIAM1;FZD3;SDC2;FZD8;CTNNB1;FLNB;EZR;THBS1
