Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	PPAR signaling pathway	5/74	1.764051e-05	1.534724e-03	0	0	1.753623e+01	1.919395e+02	FABP7;ACSL5;PPARG;ANGPTL4;PPARA
KEGG_2021_Human	Peroxisome	4/82	4.511068e-04	1.962315e-02	0	0	1.225517e+01	9.441149e+01	PEX11A;ACSL5;HACL1;CRAT
KEGG_2021_Human	Mineral absorption	3/60	2.274849e-03	5.187488e-02	0	0	1.244110e+01	7.571458e+01	TF;ATP1A2;SLC26A3
KEGG_2021_Human	Steroid hormone biosynthesis	3/61	2.385052e-03	5.187488e-02	0	0	1.222599e+01	7.382703e+01	AKR1C1;SRD5A3;AKR1C2
KEGG_2021_Human	Fatty acid elongation	2/27	6.117724e-03	1.064484e-01	0	0	1.871812e+01	9.539811e+01	ACAA2;ACOT4
KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	2/30	7.518067e-03	1.089217e-01	0	0	1.671008e+01	8.171977e+01	GLDC;PCCB
KEGG_2021_Human	Propanoate metabolism	2/34	9.587328e-03	1.089217e-01	0	0	1.461838e+01	6.793620e+01	ACSS3;PCCB
KEGG_2021_Human	Pancreatic secretion	3/102	1.001579e-02	1.089217e-01	0	0	7.147908e+00	3.290605e+01	ATP1A2;SLC26A3;CLCA4
KEGG_2021_Human	Glycine, serine and threonine metabolism	2/40	1.310744e-02	1.190111e-01	0	0	1.230650e+01	5.334346e+01	GLDC;CTH
KEGG_2021_Human	Ferroptosis	2/41	1.374105e-02	1.190111e-01	0	0	1.199035e+01	5.140702e+01	TF;ACSL5
KEGG_2021_Human	Fatty acid degradation	2/43	1.504738e-02	1.190111e-01	0	0	1.140430e+01	4.785875e+01	ACAA2;ACSL5
KEGG_2021_Human	Valine, leucine and isoleucine degradation	2/48	1.853559e-02	1.343830e-01	0	0	1.016215e+01	4.052728e+01	ACAA2;PCCB
KEGG_2021_Human	Arachidonic acid metabolism	2/61	2.900006e-02	1.940773e-01	0	0	7.917846e+00	2.803280e+01	CYP4F8;ALOX15B
KEGG_2021_Human	Riboflavin metabolism	1/8	3.428046e-02	1.977049e-01	0	0	3.306645e+01	1.115391e+02	BLVRB
KEGG_2021_Human	Adipocytokine signaling pathway	2/69	3.635951e-02	1.977049e-01	0	0	6.969622e+00	2.309942e+01	ACSL5;PPARA
KEGG_2021_Human	Renin secretion	2/69	3.635951e-02	1.977049e-01	0	0	6.969622e+00	2.309942e+01	ADRB1;CLCA4
KEGG_2021_Human	Thyroid hormone synthesis	2/75	4.229871e-02	2.164698e-01	0	0	6.394843e+00	2.022688e+01	TG;ATP1A2
KEGG_2021_Human	Salivary secretion	2/93	6.204642e-02	2.998910e-01	0	0	5.125275e+00	1.424761e+01	ADRB1;ATP1A2
KEGG_2021_Human	cAMP signaling pathway	3/216	6.813555e-02	3.108466e-01	0	0	3.303152e+00	8.873113e+00	ADRB1;ATP1A2;PPARA
