Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Staphylococcus aureus infection	19/95	1.146077e-20	1.295067e-18	0	0	3.085156e+01	1.416561e+03	C1QB;ITGAM;C1S;ITGB2;FPR3;ITGAL;ICAM1;C3;HLA-DMA;HLA-DRA;HLA-DOA;FCGR2B;HLA-DOB;HLA-DQA2;CFB;HLA-DQA1;HLA-DPA1;HLA-DQB1;C1QC
KEGG_2021_Human	Hematopoietic cell lineage	17/99	2.046333e-17	1.156178e-15	0	0	2.526069e+01	9.707152e+02	ITGAM;CD1E;CD1C;CD3E;CD1B;CD3D;CD2;HLA-DMA;CD8A;HLA-DRA;HLA-DOA;IL7R;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Cell adhesion molecules	19/148	7.166171e-17	2.161403e-15	0	0	1.812733e+01	6.738756e+02	ITGAM;ITGB2;HLA-F;ITGAL;SELE;ICAM1;CD2;HLA-DMA;PTPRC;CD8A;CD28;HLA-DRA;SIGLEC1;HLA-DOA;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Influenza A	20/172	7.650986e-17	2.161403e-15	0	0	1.627690e+01	6.040211e+02	CIITA;RSAD2;STAT1;MX2;MX1;ICAM1;CXCL10;HLA-DMA;OAS2;OAS3;CCL5;HLA-DRA;CCL2;HLA-DOA;HLA-DOB;HLA-DQA2;HLA-DQA1;IRF9;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Th1 and Th2 cell differentiation	16/92	1.498771e-16	2.885483e-15	0	0	2.550210e+01	9.292127e+02	STAT1;CD3E;IL2RG;CD3D;HLA-DMA;LCK;IL2RB;HLA-DRA;HLA-DOA;IL12RB1;HLA-DOB;JAK3;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Viral myocarditis	14/60	1.532115e-16	2.885483e-15	0	0	3.647563e+01	1.328249e+03	ITGB2;PRF1;ITGAL;HLA-F;ICAM1;HLA-DMA;CD28;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Allograft rejection	12/38	4.022686e-16	6.493764e-15	0	0	5.470751e+01	1.939349e+03	HLA-DMA;PRF1;CD28;GZMB;HLA-DRA;HLA-DOA;HLA-F;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	16/100	6.014777e-16	8.495872e-15	0	0	2.306398e+01	8.083266e+02	CCR1;CCL13;CXCL9;CXCL13;IL2RG;CXCL10;CCL8;CCL5;IL2RB;XCL2;ACKR4;XCL1;CCL2;CCL19;CCL18;CCR2
KEGG_2021_Human	Graft-versus-host disease	12/42	1.592953e-15	1.885956e-14	0	0	4.740359e+01	1.615191e+03	HLA-DMA;PRF1;CD28;GZMB;HLA-DRA;HLA-DOA;HLA-F;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Epstein-Barr virus infection	20/202	1.808327e-15	1.885956e-14	0	0	1.357316e+01	4.607594e+02	STAT1;ISG15;HLA-F;CD3E;ITGAL;CD3D;ICAM1;CXCL10;HLA-DMA;OAS2;OAS3;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA2;JAK3;IRF9;HLA-DQA1;HLA-DQB1;HLA-DPA1
KEGG_2021_Human	Th17 cell differentiation	16/107	1.835887e-15	1.885956e-14	0	0	2.128228e+01	7.221342e+02	STAT1;CD3E;IL2RG;CD3D;HLA-DMA;LCK;IL2RB;HLA-DRA;HLA-DOA;IL12RB1;HLA-DOB;HLA-DQA2;JAK3;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Type I diabetes mellitus	12/43	2.192562e-15	2.064663e-14	0	0	4.587213e+01	1.548354e+03	HLA-DMA;PRF1;CD28;GZMB;HLA-DRA;HLA-DOA;HLA-F;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Tuberculosis	19/180	2.888134e-15	2.510455e-14	0	0	1.450078e+01	4.854594e+02	CIITA;FCER1G;ITGAM;STAT1;ITGB2;CORO1A;CTSS;C3;HLA-DMA;CD209;MRC1;HLA-DRA;HLA-DOA;FCGR2B;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DQB1;HLA-DPA1
KEGG_2021_Human	Phagosome	17/152	3.377914e-14	2.659032e-13	0	0	1.530233e+01	4.746620e+02	ITGAM;ITGB2;HLA-F;CORO1A;CTSS;C3;HLA-DMA;CD209;MRC1;HLA-DRA;HLA-DOA;FCGR2B;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Autoimmune thyroid disease	12/53	3.529688e-14	2.659032e-13	0	0	3.466628e+01	1.073787e+03	HLA-DMA;PRF1;CD28;GZMB;HLA-DRA;HLA-DOA;HLA-F;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Rheumatoid arthritis	14/93	1.014961e-13	7.168160e-13	0	0	2.120353e+01	6.343832e+02	ITGB2;ITGAL;ICAM1;HLA-DMA;CCL5;CD28;CCL2;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	21/295	2.502099e-13	1.663160e-12	0	0	9.481821e+00	2.751290e+02	CCR1;IL32;CCL13;CXCL9;CSF2RB;CXCR6;CXCL13;IL2RG;CXCL10;CCL8;CCL5;IL2RB;XCL2;ACKR4;XCL1;CCL2;CCL19;IL12RB1;IL7R;CCL18;CCR2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	18/219	1.233960e-12	7.746525e-12	0	0	1.091314e+01	2.992468e+02	ITGB2;IL2RG;HLA-F;CD3E;ITGAL;CD3D;ICAM1;HLA-DMA;LCK;IL2RB;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA2;JAK3;HLA-DQA1;HLA-DQB1;HLA-DPA1
KEGG_2021_Human	Chemokine signaling pathway	17/192	1.607391e-12	9.559746e-12	0	0	1.178067e+01	3.199207e+02	CCR1;ITK;CCL13;CXCL9;STAT1;CXCR6;CXCL13;CXCL10;CCL8;CCL5;XCL2;XCL1;CCL2;CCL19;CCL18;JAK3;CCR2
KEGG_2021_Human	Leishmaniasis	12/77	4.038222e-12	2.281595e-11	0	0	2.183989e+01	5.729742e+02	C3;HLA-DMA;ITGAM;STAT1;ITGB2;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Antigen processing and presentation	12/78	4.735659e-12	2.548236e-11	0	0	2.150789e+01	5.608377e+02	CIITA;HLA-DMA;CD8A;HLA-DRA;HLA-DOA;HLA-F;HLA-DOB;HLA-DQA2;CTSS;HLA-DQA1;HLA-DPA1;HLA-DQB1
